case_id,root_cause,osi_layer,confidence,evidence,next_command,fix_steps
C001,"VLAN 10 is missing from the allowed-vlan list on the SW1 trunk (Gi0/1 allows 1-9,11-4094, excluding 10), so VLAN 10 traffic is dropped at the trunk.",Layer 2,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C002,"Fa0/3 was never assigned to VLAN 20; it is still sitting in the default VLAN 1, so the PC is on the wrong broadcast domain and cannot reach the VLAN 20 DHCP scope or gateway.",Layer 2,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C003,Core switch's native VLAN (1) is misconfigured and should be changed to match SW1.,Layer 2,medium,Core switch trunk shows native vlan 1 while SW1 shows native vlan 15; the AI assumed the core side was the one to fix.,show interfaces trunk on both switches,"[""Change core switch native VLAN to 15"", ""Verify no more native VLAN mismatch warnings""]"
C004,"Switchport Fa0/8 is misconfigured in the wrong VLAN, blocking the PC from the Guest network.",Layer 2/3,high,"show vlan brief lists Fa0/8 under VLAN 30, which the AI misread as a mismatch with the PC's observed IP.",none - evidence sufficient,"[""Move Fa0/8 into VLAN 30 with 'switchport access vlan 30'"", ""Verify with show vlan brief""]"
C005,Default gateway configured on the PC (192.168.1.254) does not match the router's actual interface IP (192.168.1.1); the PC is pointing at a nonexistent gateway.,Layer 3,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C006,"Subinterface G0/1.40, which acts as the VLAN 40 gateway, is administratively shut down.",Layer 3,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C007,"PC-B has the wrong default gateway (192.168.5.2) manually configured; 192.168.5.1 is the real router interface, so PC-B's traffic to other subnets has nowhere to go.",Layer 3,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C008,"The router interface itself is fine, but the switch port connecting the router to VLAN 5 was provisioned in VLAN 1 on the replacement switch, isolating the gateway from the rest of VLAN 5 -- a VLAN issue masquerading as a gateway issue.",Layer 2/3,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C009,"DHCP pool SALES is fully exhausted (254 leased of 254 total addresses), so new clients cannot obtain a lease.",Layer 3/7,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C010,"The DHCP pool is configured with a /25 mask (255.255.255.128) instead of the intended /24, so some clients receive addresses in the second /25 half (192.168.20.130) that cannot reach hosts or the gateway in the first half.",Layer 3,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C011,"No 'ip helper-address' is configured on the VLAN 50 interface, so DHCP broadcasts from that subnet are never relayed to the central DHCP server across the router boundary.",Layer 3,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
C012,"The excluded-address range only covers 192.168.30.1-10; the printer range 192.168.30.240-250 was never excluded, so the DHCP pool is free to lease those addresses to any client.",Layer 3,high,Directly supported by the show-command output provided for this case.,none - evidence sufficient,"[""Apply the corrective config change"", ""Re-run the relevant show command to verify"", ""Confirm with end-to-end ping/test""]"
